card_name	set_name	rarity
Battlin' Boxer Rib Gardna	2014 Mega-Tin Mega Pack_tcg	Common
Battlin' Boxer Sparrer	2014 Mega-Tin Mega Pack_tcg	Common
Battlin' Boxer Switchitter	2014 Mega-Tin Mega Pack_tcg	Common
Battlin' Boxing Spirits	2014 Mega-Tin Mega Pack_tcg	Super Rare
Black Dragon Collapserpent	2014 Mega-Tin Mega Pack_tcg	Common
Brotherhood of the Fire Fist - Boar	2014 Mega-Tin Mega Pack_tcg	Rare
Brotherhood of the Fire Fist - Buffalo	2014 Mega-Tin Mega Pack_tcg	Rare
Brotherhood of the Fire Fist - Cardinal	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Brotherhood of the Fire Fist - Caribou	2014 Mega-Tin Mega Pack_tcg	Common
Brotherhood of the Fire Fist - Coyote	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Brotherhood of the Fire Fist - Kirin	2014 Mega-Tin Mega Pack_tcg	Rare
Brotherhood of the Fire Fist - Leopard	2014 Mega-Tin Mega Pack_tcg	Common
Brotherhood of the Fire Fist - Rhino	2014 Mega-Tin Mega Pack_tcg	Rare
Brotherhood of the Fire Fist - Rooster	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Brotherhood of the Fire Fist - Wolf	2014 Mega-Tin Mega Pack_tcg	Common
Bujin Arasuda	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Bujin Mikazuchi	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Bujin Regalia - The Jewel	2014 Mega-Tin Mega Pack_tcg	Common
Bujin Regalia - The Mirror	2014 Mega-Tin Mega Pack_tcg	Rare
Bujin Regalia - The Sword	2014 Mega-Tin Mega Pack_tcg	Common
Bujin Yamato	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Bujincarnation	2014 Mega-Tin Mega Pack_tcg	Rare
Bujinfidel	2014 Mega-Tin Mega Pack_tcg	Common
Bujingi Boar	2014 Mega-Tin Mega Pack_tcg	Common
Bujingi Centipede	2014 Mega-Tin Mega Pack_tcg	Common
Bujingi Crane	2014 Mega-Tin Mega Pack_tcg	Rare
Bujingi Crow	2014 Mega-Tin Mega Pack_tcg	Rare
Bujingi Fox	2014 Mega-Tin Mega Pack_tcg	Rare
Bujingi Hare	2014 Mega-Tin Mega Pack_tcg	Super Rare
Bujingi Ibis	2014 Mega-Tin Mega Pack_tcg	Common
Bujingi Ophidian	2014 Mega-Tin Mega Pack_tcg	Common
Bujingi Pavo	2014 Mega-Tin Mega Pack_tcg	Super Rare
Bujingi Peacock	2014 Mega-Tin Mega Pack_tcg	Rare
Bujingi Quilin	2014 Mega-Tin Mega Pack_tcg	Super Rare
Bujingi Raven	2014 Mega-Tin Mega Pack_tcg	Rare
Bujingi Swallow	2014 Mega-Tin Mega Pack_tcg	Common
Bujingi Turtle	2014 Mega-Tin Mega Pack_tcg	Common
Bujingi Warg	2014 Mega-Tin Mega Pack_tcg	Common
Bujingi Wolf	2014 Mega-Tin Mega Pack_tcg	Common
Bujintei Kagutsuchi	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Bujintei Susanowo	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Bujintei Tsukuyomi	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Bujinunity	2014 Mega-Tin Mega Pack_tcg	Rare
Celestial Wolf Lord, Blue Sirius	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Cheepcheepcheep	2014 Mega-Tin Mega Pack_tcg	Common
Chirubimé, Princess of Autumn Leaves	2014 Mega-Tin Mega Pack_tcg	Super Rare
Chronomaly Moai Carrier	2014 Mega-Tin Mega Pack_tcg	Common
Chronomaly Winged Sphinx	2014 Mega-Tin Mega Pack_tcg	Common
Coach Captain Bearman	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Coach Soldier Wolfbark	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Cockadoodledoo	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Constellar Omega	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Constellar Sombre	2014 Mega-Tin Mega Pack_tcg	Super Rare
Crimson Knight Vampire Bram	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Divine Dragon Knight Felgrand	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Do a Barrel Roll	2014 Mega-Tin Mega Pack_tcg	Rare
Dododo Buster	2014 Mega-Tin Mega Pack_tcg	Common
Downerd Magician	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Evilswarm Exciton Knight	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Evilswarm Kerykeion	2014 Mega-Tin Mega Pack_tcg	Super Rare
Fencing Fire Ferret	2014 Mega-Tin Mega Pack_tcg	Common
Fire Formation - Gyokkou	2014 Mega-Tin Mega Pack_tcg	Super Rare
Fire Formation - Kaiyo	2014 Mega-Tin Mega Pack_tcg	Common
Fire Formation - Yoko	2014 Mega-Tin Mega Pack_tcg	Super Rare
Fire King Avatar Garunix	2014 Mega-Tin Mega Pack_tcg	Common
Fire King Avatar Yaksha	2014 Mega-Tin Mega Pack_tcg	Super Rare
Fishborg Archer	2014 Mega-Tin Mega Pack_tcg	Common
Five Brothers Explosion	2014 Mega-Tin Mega Pack_tcg	Common
Flying "C"	2014 Mega-Tin Mega Pack_tcg	Common
Gagagatag	2014 Mega-Tin Mega Pack_tcg	Common
Gagagawind	2014 Mega-Tin Mega Pack_tcg	Common
Gauntlet Launcher	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Geargiagear	2014 Mega-Tin Mega Pack_tcg	Super Rare
Genomix Fighter	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Ghostrick Alucard	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Ghostrick Dullahan	2014 Mega-Tin Mega Pack_tcg	Rare
Ghostrick Ghoul	2014 Mega-Tin Mega Pack_tcg	Super Rare
Ghostrick Jackfrost	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Jiangshi	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Lantern	2014 Mega-Tin Mega Pack_tcg	Super Rare
Ghostrick Mansion	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Mary	2014 Mega-Tin Mega Pack_tcg	Super Rare
Ghostrick Mummy	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Museum	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Nekomusume	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Scare	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Skeleton	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Specter	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Stein	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Vanish	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Witch	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Yeti	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick Yuki-onna	2014 Mega-Tin Mega Pack_tcg	Common
Ghostrick-Go-Round	2014 Mega-Tin Mega Pack_tcg	Rare
Gillagillancer	2014 Mega-Tin Mega Pack_tcg	Common
Googly-Eyes Drum Dragon	2014 Mega-Tin Mega Pack_tcg	Common
Gorgonic Cerberus	2014 Mega-Tin Mega Pack_tcg	Common
Gorgonic Gargoyle	2014 Mega-Tin Mega Pack_tcg	Common
Gorgonic Ghoul	2014 Mega-Tin Mega Pack_tcg	Common
Gorgonic Golem	2014 Mega-Tin Mega Pack_tcg	Common
Gorgonic Guardian	2014 Mega-Tin Mega Pack_tcg	Common
Granmarg the Mega Monarch	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Gravekeeper's Ambusher	2014 Mega-Tin Mega Pack_tcg	Common
Gravekeeper's Heretic	2014 Mega-Tin Mega Pack_tcg	Rare
Gravekeeper's Nobleman	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Gravekeeper's Oracle	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Gravekeeper's Shaman	2014 Mega-Tin Mega Pack_tcg	Super Rare
Harpie Channeler	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Harpie's Pet Phantasmal Dragon	2014 Mega-Tin Mega Pack_tcg	Rare
Hidden Temples of Necrovalley	2014 Mega-Tin Mega Pack_tcg	Rare
Hysteric Sign	2014 Mega-Tin Mega Pack_tcg	Super Rare
Imperial Tombs of Necrovalley	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Interceptomato	2014 Mega-Tin Mega Pack_tcg	Common
Interplanetarypurplythorny Beast	2014 Mega-Tin Mega Pack_tcg	Common
King of the Feral Imps	2014 Mega-Tin Mega Pack_tcg	Common
Kujakujaku	2014 Mega-Tin Mega Pack_tcg	Common
Legendary Atlantean Tridon	2014 Mega-Tin Mega Pack_tcg	Common
Madolche Chickolates	2014 Mega-Tin Mega Pack_tcg	Common
Madolche Hootcake	2014 Mega-Tin Mega Pack_tcg	Super Rare
Madolche Nights	2014 Mega-Tin Mega Pack_tcg	Super Rare
Magnum Shield	2014 Mega-Tin Mega Pack_tcg	Common
Malicevorous Fork	2014 Mega-Tin Mega Pack_tcg	Common
Malicevorous Knife	2014 Mega-Tin Mega Pack_tcg	Common
Malicevorous Spoon	2014 Mega-Tin Mega Pack_tcg	Common
Mariña, Princess of Sunflowers	2014 Mega-Tin Mega Pack_tcg	Super Rare
Masked Chameleon	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Mecha Phantom Beast Aerosguin	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Mecha Phantom Beast Blackfalcon	2014 Mega-Tin Mega Pack_tcg	Common
Mecha Phantom Beast Blue Impala	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Mecha Phantom Beast Coltwing	2014 Mega-Tin Mega Pack_tcg	Common
Mecha Phantom Beast Concoruda	2014 Mega-Tin Mega Pack_tcg	Super Rare
Mecha Phantom Beast Dracossack	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Mecha Phantom Beast Hamstrat	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Mecha Phantom Beast Harrliard	2014 Mega-Tin Mega Pack_tcg	Common
Mecha Phantom Beast Kalgriffin	2014 Mega-Tin Mega Pack_tcg	Rare
Mecha Phantom Beast Megaraptor	2014 Mega-Tin Mega Pack_tcg	Super Rare
Mecha Phantom Beast Sabre Hawk	2014 Mega-Tin Mega Pack_tcg	Common
Mecha Phantom Beast Stealthray	2014 Mega-Tin Mega Pack_tcg	Common
Mecha Phantom Beast Tetherwolf	2014 Mega-Tin Mega Pack_tcg	Rare
Mecha Phantom Beast Turtletracer	2014 Mega-Tin Mega Pack_tcg	Super Rare
Mecha Phantom Beast Warbluran	2014 Mega-Tin Mega Pack_tcg	Rare
Meliae of the Trees	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Memory Loss	2014 Mega-Tin Mega Pack_tcg	Common
Mermail Abyssbalaen	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Mermail Abyssocea	2014 Mega-Tin Mega Pack_tcg	Common
Mind Drain	2014 Mega-Tin Mega Pack_tcg	Common
Mistake	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Mobius the Mega Monarch	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Mount Sylvania	2014 Mega-Tin Mega Pack_tcg	Super Rare
Mythic Tree Dragon	2014 Mega-Tin Mega Pack_tcg	Common
Mythic Water Dragon	2014 Mega-Tin Mega Pack_tcg	Common
Number 101: Silent Honor ARK	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Number 105: Battlin' Boxer Star Cestus	2014 Mega-Tin Mega Pack_tcg	Super Rare
Number 107: Galaxy-Eyes Tachyon Dragon	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Number 64: Ronin Raccoon Sandayu	2014 Mega-Tin Mega Pack_tcg	Rare
Number 66: Master Key Beetle	2014 Mega-Tin Mega Pack_tcg	Super Rare
Number C101: Silent Honor DARK	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Number C105: Battlin' Boxer Comet Cestus	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Obedience Schooled	2014 Mega-Tin Mega Pack_tcg	Super Rare
Photon Chargeman	2014 Mega-Tin Mega Pack_tcg	Common
Pinpoint Guard	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Pot of Dichotomy	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Pumprincess the Princess of Ghosts	2014 Mega-Tin Mega Pack_tcg	Common
Rainbow Kuriboh	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Rank-Up-Magic Astral Force	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Rank-Up-Magic Barian's Force	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Rank-Up-Magic Numeron Force	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Return of the Monarchs	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Risebell the Star Adjuster	2014 Mega-Tin Mega Pack_tcg	Common
Risebell the Star Psycher	2014 Mega-Tin Mega Pack_tcg	Common
Sacred Sword of Seven Stars	2014 Mega-Tin Mega Pack_tcg	Super Rare
Scramble!! Scramble!!	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Secret Sect Druid Dru	2014 Mega-Tin Mega Pack_tcg	Common
Secret Sect Druid Wid	2014 Mega-Tin Mega Pack_tcg	Common
Shadow Vampire	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Shapesister	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Shared Ride	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Shark Fortress	2014 Mega-Tin Mega Pack_tcg	Common
Sinister Yorishiro	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Skill Prisoner	2014 Mega-Tin Mega Pack_tcg	Super Rare
Sonic Boom	2014 Mega-Tin Mega Pack_tcg	Common
Spellbook of Judgment	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Spellbook of Miracles	2014 Mega-Tin Mega Pack_tcg	Common
Star Eater	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Starliege Lord Galaxion	2014 Mega-Tin Mega Pack_tcg	Super Rare
Starship Spy Plane	2014 Mega-Tin Mega Pack_tcg	Common
Summon Breaker	2014 Mega-Tin Mega Pack_tcg	Common
Super Defense Robot Elephan	2014 Mega-Tin Mega Pack_tcg	Common
Super Defense Robot Lio	2014 Mega-Tin Mega Pack_tcg	Common
Super Defense Robot Monki	2014 Mega-Tin Mega Pack_tcg	Common
Survival of the Fittest	2014 Mega-Tin Mega Pack_tcg	Common
Sylvan Bladefender	2014 Mega-Tin Mega Pack_tcg	Super Rare
Sylvan Blessing	2014 Mega-Tin Mega Pack_tcg	Common
Sylvan Flowerknight	2014 Mega-Tin Mega Pack_tcg	Super Rare
Sylvan Guardioak	2014 Mega-Tin Mega Pack_tcg	Common
Sylvan Hermitree	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Sylvan Komushroomo	2014 Mega-Tin Mega Pack_tcg	Rare
Sylvan Marshalleaf	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Sylvan Mikorange	2014 Mega-Tin Mega Pack_tcg	Rare
Sylvan Peaskeeper	2014 Mega-Tin Mega Pack_tcg	Rare
Talaya, Princess of Cherry Blossoms	2014 Mega-Tin Mega Pack_tcg	Super Rare
The Calibrator	2014 Mega-Tin Mega Pack_tcg	Common
The First Monarch	2014 Mega-Tin Mega Pack_tcg	Secret Rare
The Monarchs Awaken	2014 Mega-Tin Mega Pack_tcg	Common
Torrential Reborn	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Totem Bird	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Transmodify	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Traptrix Atrax	2014 Mega-Tin Mega Pack_tcg	Rare
Traptrix Myrmeleo	2014 Mega-Tin Mega Pack_tcg	Rare
Traptrix Nepenthes	2014 Mega-Tin Mega Pack_tcg	Common
Traptrix Trap Hole Nightmare	2014 Mega-Tin Mega Pack_tcg	Super Rare
Umbral Horror Ghoul	2014 Mega-Tin Mega Pack_tcg	Common
Umbral Horror Unform	2014 Mega-Tin Mega Pack_tcg	Common
Umbral Horror Will o' the Wisp	2014 Mega-Tin Mega Pack_tcg	Common
Vampire Duke	2014 Mega-Tin Mega Pack_tcg	Rare
Vampire Grace	2014 Mega-Tin Mega Pack_tcg	Common
Vampire Hunter	2014 Mega-Tin Mega Pack_tcg	Super Rare
Vampire Kingdom	2014 Mega-Tin Mega Pack_tcg	Common
Vampire Sorcerer	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Vampire Takeover	2014 Mega-Tin Mega Pack_tcg	Super Rare
Vertical Landing	2014 Mega-Tin Mega Pack_tcg	Common
Wheel of Prophecy	2014 Mega-Tin Mega Pack_tcg	Rare
White Dragon Wyverburster	2014 Mega-Tin Mega Pack_tcg	Common
Windrose the Elemental Lord	2014 Mega-Tin Mega Pack_tcg	Secret Rare
World of Prophecy	2014 Mega-Tin Mega Pack_tcg	Secret Rare
Xyz Block	2014 Mega-Tin Mega Pack_tcg	Common
Xyz Encore	2014 Mega-Tin Mega Pack_tcg	Ultra Rare
Archfiend Commander	2014 Mega-Tins_tcg	Super Rare
Brotherhood of the Fire Fist - Gorilla	2014 Mega-Tins_tcg	Super Rare
Brotherhood of the Fire Fist - Tiger King	2014 Mega-Tins_tcg	Platinum Secret Rare
Bujingi Crane	2014 Mega-Tins_tcg	Super Rare
Bujintei Susanowo	2014 Mega-Tins_tcg	Platinum Secret Rare
